"","Title","Artist","track_title","line","lyric"
"1","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",1,"Raindrops keep fallin' on my head"
"2","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",2,"And just like the guy whose feet are too big for his bed"
"3","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",3,"Nothin' seems to fit"
"4","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",4,"Those raindrops are fallin' on my head, they keep fallin'So I just did me some talkin' to the sun"
"5","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",5,"And I said I didn't like the way he got things done"
"6","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",6,"He's sleepin' on the job"
"7","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",7,"Those raindrops are fallin' on my head, they keep fallin'But there's one thing I know"
"8","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",8,"The blues they send to greet me won't defeat me"
"9","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",9,"It won't be long till happiness steps up to greet me"
"10","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",10,"Raindrops keep fallin' on my head"
"11","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",11,"But that doesn't mean my eyes will soon be turnin' red"
"12","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",12,"Crying's not for me"
"13","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",13,"Cause I'm never gonna stop the rain by complainin'"
"14","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",14,"Because I'm free"
"15","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",15,"Nothing's worryin' me"
"16","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",16,"*trumpet*"
"17","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",17,"It won't be long till happiness steps up to greet me"
"18","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",18,"The raindrops keep fallin' on my head"
"19","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",19,"But that doesn't mean my eyes will soon be turnin' red"
"20","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",20,"Crying's not for me"
"21","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",21,"Cause I'm never gonna stop the rain by complainin'"
"22","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",22,"Because I'm free"
"23","Raindrops Keep Fallin On My Head","BJ Thomas","Raindrops Keep Fallin' on My Head",23,"Nothing's worryin' me"
"24","I Want You Back","Jackson 5","I Want You Back",1,"Uh-huh huh huh huh"
"25","I Want You Back","Jackson 5","I Want You Back",2,"Let me tell ya now"
"26","I Want You Back","Jackson 5","I Want You Back",3,"Uh-huh"
"27","I Want You Back","Jackson 5","I Want You Back",4,"When I had you to myself, I didn't want you around"
"28","I Want You Back","Jackson 5","I Want You Back",5,"Those pretty faces always made you stand out in a crowd"
"29","I Want You Back","Jackson 5","I Want You Back",6,"But someone picked you from the bunch, one glance was all it took"
"30","I Want You Back","Jackson 5","I Want You Back",7,"Now it's much too late for me to take a second look"
"31","I Want You Back","Jackson 5","I Want You Back",8,"Oh, baby, give me one more chance (To show you that I love you)"
"32","I Want You Back","Jackson 5","I Want You Back",9,"Won't you please let me (Back in your heart)"
"33","I Want You Back","Jackson 5","I Want You Back",10,"Oh, darlin', I was blind to let you go (Let you go, baby)"
"34","I Want You Back","Jackson 5","I Want You Back",11,"But now since I see you in his arms (I want you back)"
"35","I Want You Back","Jackson 5","I Want You Back",12,"Yes, I do now (I want you back)"
"36","I Want You Back","Jackson 5","I Want You Back",13,"Ooh, ooh, baby (I want you back)"
"37","I Want You Back","Jackson 5","I Want You Back",14,"Yeah, yeah, yeah, yeah (I want you back)"
"38","I Want You Back","Jackson 5","I Want You Back",15,"Na, na, na, na"
"39","I Want You Back","Jackson 5","I Want You Back",16,"Tryin' to live without your love is one long sleepless night"
"40","I Want You Back","Jackson 5","I Want You Back",17,"Let me show you, girl, that I know wrong from right"
"41","I Want You Back","Jackson 5","I Want You Back",18,"Every street you walk on I leave tear stains on the ground"
"42","I Want You Back","Jackson 5","I Want You Back",19,"Following the girl, I didn't even want around"
"43","I Want You Back","Jackson 5","I Want You Back",20,"Let me tell you now"
